dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,n_instances_x,n_features_x,n_classes_x,skewness_mean_x,kurtosis_mean_x,mean_abs_pearson_x,class_entropy_x,imbalance_ratio_x,hopkins_x,intrinsic_dim_ratio_x,pca_var_pc1_x,inter_intra_ratio_x,silhouette_true_x,davies_bouldin_true_x,knn1_accuracy_x,decision_stump_accuracy_x,feature_sparsity_x,cv_mean_x,n_instances_y,n_features_y,n_classes_y,skewness_mean_y,kurtosis_mean_y,mean_abs_pearson_y,class_entropy_y,imbalance_ratio_y,hopkins_y,intrinsic_dim_ratio_y,pca_var_pc1_y,inter_intra_ratio_y,silhouette_true_y,davies_bouldin_true_y,knn1_accuracy_y,decision_stump_accuracy_y,feature_sparsity_y,cv_mean_y
22,0.4667,0.1433,0.64,0.5967,0.6033,0.6067,agg,0.75,1600.0,47.0,10.0,0.7878171451827171,1.197554472047633,0.2569285682045014,0.9999999999956573,1.0,1.0,0.3404255319148936,0.2599734685437787,6.325040956647689,0.0596789741769641,8.27522961128668,0.7899999999999999,0.1868749999999999,0.0071010638297872,0.5746283188055743,1600.0,47.0,10.0,0.7878171451827171,1.197554472047633,0.2569285682045014,0.9999999999956573,1.0,1.0,0.3404255319148936,0.2599734685437787,6.325040956647689,0.0596789741769641,8.27522961128668,0.7899999999999999,0.1868749999999999,0.0071010638297872,0.5746283188055743
45688,0.8333,1.0,0.8333,0.75,0.9167,0.9167,dbscan,0.3871,120.0,1.0,3.0,0.6501707977521095,0.0962788256156015,0.0,0.99981034706666,1.051282051282051,0.7054580775121352,1.0,1.0,0.3000844184740152,-0.0531032299145239,7.855594488155894,0.4583333333333333,0.3416666666666666,0.025,0.4763851702644182,120.0,1.0,3.0,0.6501707977521095,0.0962788256156015,0.0,0.99981034706666,1.051282051282051,0.7054580775121352,1.0,1.0,0.3000844184740152,-0.0531032299145239,7.855594488155894,0.4583333333333333,0.3416666666666666,0.025,0.4763851702644182
46745,0.6688,0.4347,0.7225,0.612,0.7252,0.609,autoenc,1.0,24000.0,12.0,6.0,0.5905948629681599,0.7840988919035965,0.3316239503144096,0.9999999999966512,1.0,1.0,0.5,0.3828244879904402,4.398361882864836,0.3466827052000038,1.5946807083043133,1.0,0.3333333333333333,0.0145347222222222,0.2811790587813666,24000.0,12.0,6.0,0.5905948629681599,0.7840988919035965,0.3316239503144096,0.9999999999966512,1.0,1.0,0.5,0.3828244879904402,4.398361882864836,0.3466827052000038,1.5946807083043133,1.0,0.3333333333333333,0.0145347222222222,0.2811790587813666
40498,0.4009,0.6532,0.3664,0.4715,0.461,0.4129,dbscan,0.6796,3918.0,11.0,7.0,1.3307191281560262,7.884277468823418,0.1797954429631632,0.6630668915094509,439.5,0.9999999999940428,0.8181818181818182,0.2937752000536422,1.6320469374198818,-0.0807355315128608,7.583699040689149,0.6186856543383638,0.4486980999296269,0.010719754977029,0.2997690334070103,3918.0,11.0,7.0,1.3307191281560262,7.884277468823418,0.1797954429631632,0.6630668915094509,439.5,0.9999999999940428,0.8181818181818182,0.2937752000536422,1.6320469374198818,-0.0807355315128608,7.583699040689149,0.6186856543383638,0.4486980999296269,0.010719754977029,0.2997690334070103
40475,0.7039,0.9106,0.5056,0.6872,0.7514,0.662,dbscan,0.6393,2240.0,6.0,5.0,4.1942465065386445,70.21667341140473,0.2585294680632926,0.658349985347934,52.2,0.9999215024332206,0.8333333333333334,0.3895379306409088,1.5782893200938952,-0.125028096360391,6.62061223722228,0.5383928571428572,0.6433035714285714,0.1049107142857142,0.9638388697592388,2240.0,6.0,5.0,4.1942465065386445,70.21667341140473,0.2585294680632926,0.658349985347934,52.2,0.9999215024332206,0.8333333333333334,0.3895379306409088,1.5782893200938952,-0.125028096360391,6.62061223722228,0.5383928571428572,0.6433035714285714,0.1049107142857142,0.9638388697592388
11,0.7113,0.5979,0.5979,0.7732,0.4948,0.5155,gmm,0.776,500.0,4.0,3.0,0.0380722495462878,1.2842206380540448,0.0167115359047244,0.8309909101436774,5.923076923076923,0.1569895118710892,1.0,0.2629494852335931,1.1855575635061308,0.0856143076535206,4.05148116144662,0.7679460356395643,0.6259769617391723,0.0515,0.4637153925594844,500.0,4.0,3.0,0.0380722495462878,1.2842206380540448,0.0167115359047244,0.8309909101436774,5.923076923076923,0.1569895118710892,1.0,0.2629494852335931,1.1855575635061308,0.0856143076535206,4.05148116144662,0.7679460356395643,0.6259769617391723,0.0515,0.4637153925594844
1551,0.375,0.375,0.6667,0.5833,0.3333,0.2917,agg,0.3,320.0,37.0,8.0,0.4410489673545814,0.9812748865687008,0.0441896807764617,0.9222974749820964,4.45,0.936432948028204,0.918918918918919,0.0485506388690844,1.5208501964367471,-0.0245152993890592,9.494626608525614,0.203125,0.2625,0.0097972972972972,0.2302472611020301,320.0,37.0,8.0,0.4410489673545814,0.9812748865687008,0.0441896807764617,0.9222974749820964,4.45,0.936432948028204,0.918918918918919,0.0485506388690844,1.5208501964367471,-0.0245152993890592,9.494626608525614,0.203125,0.2625,0.0097972972972972,0.2302472611020301
46382,0.3611,0.3333,0.3611,0.3889,0.4074,0.2963,autoenc,0.75,575.0,9.0,6.0,9.27316979932862,147.024665669896,0.0729095955933867,0.9554220456828966,3.971428571428572,0.9999998879101116,1.0,0.1865981567784424,1.511207600291057,-0.0755919449304005,6.273463041025596,0.3930434782608696,0.3078260869565217,0.0218357487922705,3.799377946906698,575.0,9.0,6.0,9.27316979932862,147.024665669896,0.0729095955933867,0.9554220456828966,3.971428571428572,0.9999998879101116,1.0,0.1865981567784424,1.511207600291057,-0.0755919449304005,6.273463041025596,0.3930434782608696,0.3078260869565217,0.0218357487922705,3.799377946906698
44513,0.3971,0.2441,0.3618,0.4118,0.3735,0.3059,gmm,0.85,1600.0,100.0,5.0,1.6577239069897098,6.339501837340556,0.3126124954389276,0.9998082297809494,1.0718954248366013,1.0,0.45,0.4071921655934059,4.969691954880978,-0.0166698020145586,5.974760543728743,0.7475,0.31125,0.007175,0.6632823166440379,1600.0,100.0,5.0,1.6577239069897098,6.339501837340556,0.3126124954389276,0.9998082297809494,1.0718954248366013,1.0,0.45,0.4071921655934059,4.969691954880978,-0.0166698020145586,5.974760543728743,0.7475,0.31125,0.007175,0.6632823166440379
44614,0.7842,1.0144,0.7698,0.7842,0.777,0.8129,dbscan,0.4712,1178.0,2.0,3.0,0.7173166296558782,1.3727251336498385,0.5335179379495879,0.9709247140011308,1.8909774436090223,0.9986686848337166,1.0,0.7667589689747939,0.4451771284010192,-0.0416338580027144,6.66239506877109,0.4363067109795571,0.4269962437901369,0.0,0.4925598143494539,1178.0,2.0,3.0,0.7173166296558782,1.3727251336498385,0.5335179379495879,0.9709247140011308,1.8909774436090223,0.9986686848337166,1.0,0.7667589689747939,0.4451771284010192,-0.0416338580027144,6.66239506877109,0.4363067109795571,0.4269962437901369,0.0,0.4925598143494539
