dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,n_instances,n_features,n_classes,skewness_mean,kurtosis_mean,mean_abs_pearson,hopkins,intrinsic_dim_ratio,pca_var_pc1,kmeans_est_imbalance_ratio,kmeans_largest_cluster_frac,kmeans_inertia_per_sample,kmeans_silhouette,kmeans_davies_bouldin,feature_sparsity,cv_mean
46952,0.591623,0.685864,0.691099,0.612565,0.570681,0.670157,agg,0.905213,0.663507,0.241706,843.0,57.0,2.0,6.281480282597133,99.91537118698253,0.12422823516923462,1.0,0.543859649122807,0.1437761405546066,3.9881656804733727,0.7995255041518387,52.00629729063289,0.3406302500694639,2.8243932135153265,0.009635595513100665,7.138193863191394
784,0.636364,0.909091,0.636364,0.636364,0.727273,0.772727,dbscan,0.785714,0.5,0.285714,112.0,13.0,2.0,2.922430297567114,8.616545591192018,0.11971881665643365,0.9999999999999969,0.7692307692307693,0.1549863816226917,9.181818181818182,0.9017857142857143,11.266876860201894,0.24349099917371633,1.0973715616596322,0.0,3.093741413728718
44671,0.635556,0.524444,0.573333,0.693333,0.76,0.622222,autoenc,0.5625,0.3,0.2625,1600.0,32.0,5.0,3.124247605256704,70.5586519680314,0.10956229978989664,1.0,0.59375,0.1558608690098754,1214.0,0.75875,24.023205675291234,0.4237522877240608,2.1304038768631113,0.05318359375,65.2060238429405
46554,0.79001,0.889554,0.783182,0.79001,0.55666,0.837805,dbscan,0.927556,0.777778,0.149778,36000.0,27.0,2.0,3.468241026372896,110.44708096600776,0.062264476199514036,1.0,0.6666666666666666,0.10930848929264475,1.0302278366794495,0.5074444444444445,24.835472311781587,0.08936898347098937,3.2365690684041506,0.006124485596707819,2.3346012437305586
46963,0.838298,0.578723,0.846809,0.570213,0.842553,0.565957,agg,0.867159,0.516605,0.350554,1082.0,25.0,3.0,0.9763403728016875,1.917995812333526,0.13497949074415574,0.9999946952855451,0.56,0.16287022202863136,5.480392156862745,0.5166358595194085,20.27378852658085,0.14162858003116588,2.2233042424641756,0.0,1.5161293065345802
44663,0.416309,0.76824,0.381974,0.60515,0.463519,0.532189,dbscan,0.5825,0.4175,0.165,1600.0,51.0,6.0,5.872832560606215,96.93546711628649,0.24414205809949313,1.0,0.4117647058823529,0.2980106787674765,338.5,0.423125,27.632731775733603,0.20459834201901486,1.3087714798224253,0.013075980392156863,221.22234997662252
1,0.616667,0.805556,0.683333,0.516667,0.55,0.577778,dbscan,1.0,0.761111,0.238889,718.0,84.0,5.0,6.46239682553306,93.49160112202478,0.09029205540161717,1.0,0.42857142857142855,0.0973044176767307,83.6,0.5821727019498607,60.17319915203751,0.15423066288752893,1.9627286712407799,0.08333333333333333,4.460803688847489
44259,0.5,0.661111,0.5,0.711111,0.505556,0.5,gmm,1.0,0.538889,0.461111,718.0,86.0,2.0,5.925487652134225,72.36258256666886,0.09443806872745361,1.0,0.4186046511627907,0.09432077526852388,12.296296296296296,0.924791086350975,72.67545933706187,0.2713082284789674,1.6948732182795037,0.08192977910215715,4.107297124399773
44158,0.655257,0.629584,0.650367,0.652812,0.627139,0.704156,dictlearn,0.812314,0.500497,0.311817,4025.0,85.0,2.0,8.639622745966518,199.47859286687745,0.05681010927063875,1.0,0.5882352941176471,0.10568563955686949,2.156862745098039,0.6832298136645962,79.63950051967007,0.1908855010902276,3.3518196286393276,0.002268176835951772,9.16484989280462
45547,0.703387,0.814956,0.7059,0.806614,0.81757,0.772741,autoenc,0.710643,0.500286,0.210357,56000.0,19.0,2.0,7.744033515156933,437.3412522689475,0.1053570604071035,1.0,0.631578947368421,0.1773045476812679,7.707821489659462,0.8851607142857143,16.394026201615766,0.37591773639302484,1.6818233907797746,0.007099624060150376,1.5545855668800428
44395,0.830409,0.845029,0.830409,0.830409,0.830409,0.748538,dbscan,0.855,0.5,0.355,1600.0,20.0,2.0,1.524485860757618,4.4871531340743385,0.3794032677521102,0.999999999999854,0.4,0.48330159748540996,4.144694533762058,0.805625,10.799705401184212,0.5062435885633595,0.721593343946855,0.001875,1.5589920381219275
816,0.60369,0.60738,0.681919,0.802952,0.659779,0.612546,gmm,0.826724,0.502135,0.324588,6553.0,8.0,2.0,0.01567070781495582,1.1932815019681344,0.0071682367306866905,0.5816208701904242,1.0,0.1291589330178158,1.0287925696594427,0.5070959865710362,7.2463226226123085,0.09295114035368794,3.056173186826232,0.006237601098733405,114.5477047908
721,0.885714,0.6,0.771429,0.885714,0.657143,0.571429,kmeans,0.875,0.525,0.35,160.0,10.0,2.0,0.0955114184372794,1.5438424033883238,0.06839753586603231,0.25857360170925764,1.0,0.15049073820665104,1.0253164556962024,0.50625,8.901035134771105,0.10460121423983053,2.825611803961785,0.06375,16507421.506420452
335,0.5,0.981818,0.581818,0.5,0.718182,0.436364,dbscan,0.990991,0.522523,0.468468,443.0,17.0,2.0,0.6487524312179047,1.418338033056501,0.08212323913181475,0.9972780333847417,0.6470588235294118,0.1205233937099993,1.004524886877828,0.5011286681715575,14.988843593681318,0.1151793876951124,2.7297906486505243,0.0,1.39215016142929
896,0.702381,0.702381,0.642857,0.833333,0.702381,0.642857,gmm,0.84,0.56,0.28,400.0,25.0,2.0,0.14135337930419886,1.1936748861358055,0.05788074739748474,0.9945999484941975,0.84,0.13258134234479022,1.7210884353741496,0.6325,22.757019714299446,0.08417369162533778,3.052172335096067,0.0071,437.4687672316954
46584,0.72973,0.608108,0.513514,0.689189,0.756757,0.743243,autoenc,0.552239,0.313433,0.238806,532.0,49.0,4.0,4.768968329267129,62.012018063964184,0.07989254502023105,0.9999999999991454,0.673469387755102,0.10612326745513403,37.166666666666664,0.4191729323308271,41.23441882212451,0.07892422324772443,2.563829430971511,0.0,5.082343875974352
45022,0.954142,1.058353,0.988504,0.98738,0.948144,0.926653,dbscan,0.562878,0.5,0.062878,56872.0,7.0,2.0,5.834301921085552,230.56231567946017,0.12670104767605034,0.9999999999672289,1.0,0.27175273144954304,1.5025081404558656,0.6004009002672669,5.783983631803412,0.2220934095299771,1.8440070239605855,0.011486948134155898,1.7074302286747296
45026,0.700486,0.700486,0.700486,0.700486,0.700486,0.703266,dictlearn,0.7195,0.5,0.2195,8000.0,22.0,2.0,1.4086717387216854,10.356874447486117,0.3886301736873766,1.0,0.5909090909090909,0.45527407282698495,16.582417582417584,0.943125,12.803292400826066,0.6537384101634903,0.26458091264263395,0.03436931818181818,414.2914432680142
32,0.687299,0.326914,0.699679,0.821641,0.684548,0.574966,gmm,0.991814,0.104138,0.887676,8793.0,16.0,10.0,0.5097057175059521,1.024904788638033,0.2714807949825559,0.9999999951809689,0.625,0.29518157923545546,5.579710144927536,0.2189241442056181,5.409196244174844,0.2815161604571664,1.365402016296757,0.007719208461276015,0.6616155414846034
