dataset_id,LSE_kmeans,LSE_dbscan,LSE_agg,LSE_gmm,LSE_autoenc,LSE_dictlearn,best_method,gt_accuracy,majority_accuracy,gt_lift_over_majority,ae_mean_0,ae_mean_1,ae_mean_2,ae_mean_3,ae_mean_4,ae_mean_5,ae_mean_6,ae_mean_7,ae_mean_8,ae_mean_9,ae_var_0,ae_var_1,ae_var_2,ae_var_3,ae_var_4,ae_var_5,ae_var_6,ae_var_7,ae_var_8,ae_var_9,ae_mean_10,ae_mean_11,ae_mean_12,ae_mean_13,ae_mean_14,ae_mean_15,ae_mean_16,ae_mean_17,ae_mean_18,ae_mean_19,ae_var_10,ae_var_11,ae_var_12,ae_var_13,ae_var_14,ae_var_15,ae_var_16,ae_var_17,ae_var_18,ae_var_19
734,0.768947,0.651372,0.794347,0.650143,0.732487,0.648914,agg,0.887636,0.576,0.311636,-2.6365082263946533,-1.1660665273666382,0.11513900756835938,0.9710931181907654,-0.13940535485744476,1.6780357360839844,-0.5774651765823364,1.3074262142181396,,,4.580506324768066,4.7232160568237305,4.992816925048828,5.264231204986572,5.8001179695129395,2.528183937072754,3.3709254264831543,4.319597244262695,,,,,,,,,,,,,,,,,,,,,,
44619,0.355224,0.692537,0.358209,0.280597,0.280597,0.435821,dbscan,0.968208,0.699422,0.268786,-0.5092193484306335,0.4234761893749237,-0.19440163671970367,-0.7187087535858154,-0.29727527499198914,-0.1529638171195984,0.6937877535820007,-1.0397893190383911,,,4.413952350616455,2.5140466690063477,2.5140316486358643,4.380512237548828,3.7514309883117676,4.008589267730713,4.0035200119018555,4.2266435623168945,,,,,,,,,,,,,,,,,,,,,,
46842,0.577143,0.674286,0.571429,0.674286,0.674286,0.468571,dbscan,0.862069,0.399015,0.463054,-0.6447284817695618,-0.2221093624830246,-0.3947960436344147,-0.6055370569229126,-0.3905344009399414,-0.7667126655578613,0.45833250880241394,-0.03805174306035042,,,0.8618883490562439,1.2417998313903809,0.644821286201477,1.0498945713043213,0.7650169730186462,0.6728652715682983,0.6157217621803284,0.5897470712661743,,,,,,,,,,,,,,,,,,,,,,
46952,0.591623,0.685864,0.691099,0.612565,0.570681,0.670157,agg,0.905213,0.663507,0.241706,-0.3815584182739258,0.16579288244247437,-0.6879240870475769,0.10620156675577164,-0.6710138916969299,0.3166065812110901,-0.2778567969799042,0.8501068353652954,,,6.864704608917236,6.8509745597839355,8.144768714904785,6.406973361968994,10.458858489990234,5.817502498626709,8.246606826782227,12.042943954467773,,,,,,,,,,,,,,,,,,,,,,
784,0.636364,0.909091,0.636364,0.636364,0.727273,0.772727,dbscan,0.785714,0.5,0.285714,-0.28351062536239624,-0.13993313908576965,0.3661343455314636,0.6135945320129395,-0.5907601118087769,0.025874251499772072,0.8594663739204407,0.6508889198303223,,,1.7868750095367432,0.9048418998718262,1.429996132850647,1.1500879526138306,1.008959174156189,1.0885131359100342,1.5060348510742188,0.9529953002929688,,,,,,,,,,,,,,,,,,,,,,
44671,0.635556,0.524444,0.573333,0.693333,0.76,0.622222,autoenc,0.5625,0.3,0.2625,1.3413877487182617,-0.5981596112251282,-2.099647045135498,0.5302345156669617,-0.10330189764499664,1.1436011791229248,0.3365086019039154,-0.01665857620537281,-0.8027344346046448,1.3777815103530884,4.308708667755127,2.6209585666656494,7.084909439086914,2.5228934288024902,2.633425235748291,3.9306106567382812,2.1255648136138916,3.7003142833709717,2.5425806045532227,4.4682207107543945,,,,,,,,,,,,,,,,,,,,
46554,0.79001,0.889554,0.783182,0.79001,0.55666,0.837805,dbscan,0.927556,0.777778,0.149778,-2.4517822265625,1.8051133155822754,0.4186500906944275,0.1462954580783844,3.5588371753692627,2.7722525596618652,-1.8972070217132568,-5.608098983764648,,,13.628560066223145,8.439865112304688,5.036534786224365,7.751851558685303,3.7739205360412598,9.63161849975586,11.301436424255371,8.34219741821289,,,,,,,,,,,,,,,,,,,,,,
46963,0.838298,0.578723,0.846809,0.570213,0.842553,0.565957,agg,0.867159,0.516605,0.350554,0.1841212958097458,-0.10113696753978729,-0.34792473912239075,0.5427074432373047,0.8381287455558777,-1.1884535551071167,0.1630983203649521,0.05976160615682602,,,2.443793773651123,2.6259074211120605,5.042208194732666,4.907449245452881,3.0992250442504883,3.019071340560913,4.333636283874512,2.593226909637451,,,,,,,,,,,,,,,,,,,,,,
44663,0.416309,0.76824,0.381974,0.60515,0.463519,0.532189,dbscan,0.5825,0.4175,0.165,0.6382598280906677,-0.6203626990318298,0.533877432346344,1.0279446840286255,0.641384482383728,0.32779398560523987,-0.6925010085105896,-1.6440430879592896,0.5165452361106873,-0.5250493884086609,4.835111618041992,3.9313745498657227,9.113027572631836,5.181939601898193,5.354852676391602,3.3033576011657715,7.446861743927002,4.436568260192871,5.935986518859863,6.034898281097412,-0.7617558836936951,1.3542410135269165,,,,,,,,,3.8357644081115723,4.033548831939697,,,,,,,,
1,0.616667,0.805556,0.683333,0.516667,0.55,0.577778,dbscan,1.0,0.761111,0.238889,-0.3887544572353363,0.024205021560192108,-0.5088760256767273,-0.7455406188964844,0.15804022550582886,0.09733018279075623,-0.9372730255126953,-0.919336199760437,0.7741559743881226,-0.11554738134145737,9.7283935546875,7.908689498901367,10.559012413024902,12.734272003173828,14.293787956237793,9.157197952270508,8.300942420959473,11.065200805664062,8.875181198120117,7.682430267333984,,,,,,,,,,,,,,,,,,,,
